Nectarios Economakis — Inside a New $40M Fund Built to Fix Canada's Brain Drain |-Nectarios Economakis | PBN EP 05

[music]

Nectar, welcome here from Canada and I I really do appreciate that.  For sure, happy to be here.  So, Nectar, um basically like you are you put it out there that you're changing the face of Canadian VC.  What does that mean to you?

And tell us a little bit about yourself.  Sure, sure.  Maybe I'll start with myself and uh before the big big mission of the fund, but you know, like I've been a tech geek for 20-ish years, started my started my career in digital marketing and uh you know, worked at Google for for a little while and did some angel investing before before starting my own company.  And uh now, yeah, I'm now having new adventures starting this fund called Amiral Ventures, uh which we just launched 5 months ago.

And uh it took it was a hell of a difficult time to to start a new VC fund in Canada.  It took us like 3 years to fundraise.  And And a lot of existential questions like, "Why the hell are we doing this?  Like, why are we spending all this time, you know, to to to start a fund?

" And we realized that there's just not enough uh VC capital in Canada, right?  So, it's like more of a question of not like changing it.  It's really just helping boost uh you know, the ecosystem here, having another fund that knows what it is to start a company, understands startups, and knows when to help, knows when to get out of the way.  And most importantly, for founders like, "Write the term sheet.

" Be able to lead a round.  Like, that's the biggest thing that's really missing in the country right now.  And And I kind of remember when this was happening on the timeline.  It was like around when Open Claw had come out and some of the the the uh models had start getting into where they were actually useful uh for for for day-to-day sort of automation and stuff.

And um that whole scene changed where uh businesses just that are different.  And now the founder CEOs were were becoming more on the scene.  Um but Canada itself being a Canadian myself and having grown up here having grown up in the Waterloo area in the in the I went to McMaster so the Hamilton area.  Um I a lot of engineers, a lot of tech people, a lot of talent goes down south.

So talk about that brain drain.  It's been happening since I was in high school um a long time ago.  So tell me uh what do you what do you know about that and how are you trying to change it?  Yeah, well it's it's an obvious thing, right?

You pointed it out Johan that you know like a lot of the best and brightest leave and um part of that is like in my role as I guess you founders I get term sheets from, you know, American investors and you know what?  Founders should get the best possible terms and best possible partner they can, right?  So I'm not uh it's not a knock on the founders.  It's a knock on there's just not enough capital locally.

So there's one thing and then two is, you know, like the reality of the matter is like all the tech's being built like a lot of the big generational companies are in the US, right?  So that attracts a lot of smart people that are not necessarily, you know, ready to be founders or not considering the entrepreneurship path and but want good safe jobs that pay well.  And that's much more present, you know, in in the US, right?  So but the joke is San Francisco's just a wrapper on Waterloo, right?

So it's it's normal that these things are happening.  It's just like the the state of the chessboard today.  So I think what we're trying to do and I'm one of the small part of the chain is like if we have more tech companies here we could probably get people that want to stick around, you know, that maybe ascribe more to the values of this country that hey if I don't need to leave, you know, to have a high-paying, you know, a salary somewhere else or hey I could actually start a company.  It is possible to do it, right?

It's like I said it's not a perfect environment.  There's still a lot of work to be done but uh small steps towards building, you know, more companies here I think it is a good thing.  You know, the end state of how I like to describe it is that we have one big tech company in Canada, right?  Like the you know, the the the the one big you know, 200 plus market cap company.

We probably need at least 10 or dozen more to just build a more vibrant ecosystem, right?  Because then below that you have a lot more obviously, you know, uh you know, like 50 billion and 10 billion and you know, you know, growing companies and like they'll just be more of uh a bigger tech industry as a whole, right?  Um I think I know which one it is.  It's Shopify.

I mean, it's it's the only one.  But like the the others are banks pretty much and and insurance institutions.  And uh that's the the state of business in Canada pretty much.  Um yes, and you're right.

We do need to change that.  And tell me about like what what do you see as the biggest challenges ahead for for making inroads into into that?  Um well, you know, like in my role like obviously, you know, everything I see is you know, like a you know, what's the expression?  If you're a hammer, everything's a nail, right?

So, I think part of it is like hey, more money like more money pouring into like funds like myself.  Like that's obviously super biased.  Uh but part of it is also just um building the ecosystem here, right?  So, showing people that it is possible.

Like I've met a bunch of very successful founders that have built companies here that have made it and you know, like you know, built here, but are on the global stage.  So, [snorts] part of it is like just showcasing that it's it's possible, right?  So, I think a little bit of you know, one of the arrows in our quiver is trying to do some marketing, trying to do some media and events to to help promote the ecosystem.  We're not the only ones.

You know, it's it takes a village as they say.  Uh so, part of it is just like the positive Canadian propaganda.  It's like showing people you can do it here.  And if you follow, you know, like I spend too much time on Twitter and like um it's like a lot of the vibes end up being negative.

I was like, but why?  It's like quality of life in Canada is great.  We're you know, there are no bombs falling.  You can do it here.

Like there's no there's you know, like writing software is done at your you know, like in the office.  Like there's no other reason.  And uh there's a lot of like mis- misconceptions.  Oh, you have to be a Delaware corp in order to get funding from the US VC.

It's not true.  It's like I don't know where that's written, but that's not 100% not true.  Uh so, I think part of it is demystifying it for the founders as well that are building.  And like I said, if they want to move and like go there, like of course like it's a it's a very vibrant ecosystem, but my job is like how can we help make it more attractive for people to stay?

[snorts]

Yeah, and um are you seeing any sort of uh narrative for people high net worth and bigger investing in Canada?  Like what what are they what are their reservations?  Um [sighs] the way I like to approach this question is that we're not we're not the Valley.  Let's not pretend we are, right?

